統一編號,公司名稱,上市,500大
24802120,客思達股份有限公司,1,0
1175920,理隆纖維工業股份有限公司,1,0
1456219,中央存款保險股份有限公司,0,1
1887370,太空梭高傳真資訊科技(股)公司,1,0
1895435,乙盛精密工業股份有限公司,1,0
2769941,開曼東明控股股份有限公司,1,0
2906023,矽力杰股份有限公司,1,0
3028404,工信工程股份有限公司,1,0
3036306,上海商業儲蓄銀行股份有限公司,0,1
3064421,中央投資股份有限公司,0,1
3064800,太平洋電線電纜股份有限公司,0,1
3077208,中國信託商業銀行股份有限公司,0,1
3084741,中國石油化學工業開發股份有限公司,1,1
3086001,中國電器股份有限公司,1,0
3088704,中化合成生技股份有限公司,1,0
3088802,中國化學製藥股份有限公司,1,0
3089008,中國砂輪企業股份有限公司,1,0
3098415,中華汽車工業股份有限公司,1,1
3098908,日盛證券股份有限公司,0,1
3101946,中福國際(股)公司,1,0
3110001,旺旺友聯產物保險股份有限公司,1,0
3213392,亞力電機股份有限公司,1,0
3228304,和成欣業股份有限公司,1,0
3244509,亞洲水泥股份有限公司,1,1
3244705,萬洲化學股份有限公司,1,1
3251108,和泰汽車股份有限公司,1,1
3279507,信大水泥股份有限公司,1,0
3283306,厚生股份有限公司,1,1
3353007,益航股份有限公司,1,0
3358805,保誠人壽保險股份有限公司,0,1
3359109,第一產物保險股份有限公司,1,0
3373221,慶豐商業銀行股份有限公司,0,1
3374306,國泰建設股份有限公司,1,1
3374707,國泰人壽保險股份有限公司,0,1
3374805,富邦金融控股股份有限公司,1,1
3375001,國泰化工廠股份有限公司,1,0
3434016,中國人壽保險股份有限公司,1,1
3458403,新光產物保險股份有限公司,1,0
3458902,新光人壽保險股份有限公司,0,1
3474311,勤美股份有限公司,1,0
3489200,裕隆汽車製造股份有限公司,1,1
3516001,台元紡織股份有限公司,0,1
3521905,遠東百貨股份有限公司,1,1
3522600,遠東新世紀股份有限公司,1,1
3543210,台榮產業股份有限公司,1,0
3546618,廣宇科技股份有限公司,1,1
3553737,台橡股份有限公司,1,1
3557017,臺灣人壽保險股份有限公司,0,1
3557115,台灣產物保險股份有限公司,1,0
3557311,臺灣銀行股份有限公司,0,1
3558206,臺灣中華化學工業股份有限公司,1,0
3559508,臺灣證券交易所股份有限公司,0,1
3561011,裕豐國際開發股份有限公司,1,0
3562308,台火開發股份有限公司,1,0
3564501,台灣三洋電機股份有限公司,1,0
3564713,台灣航業股份有限公司,1,1
3568400,震旦行股份有限公司,1,0
3607500,聲寶股份有限公司,1,1
3700301,臺灣土地銀行股份有限公司,0,1
3701104,台灣土地開發股份有限公司,1,1
3705903,兆豐國際商業銀行股份有限公司,0,1
3707901,台灣中油股份有限公司,0,1
3741302,中華郵政股份有限公司,0,1
3742301,華南商業銀行股份有限公司,0,1
3750168,台北富邦商業銀行股份有限公司,0,1
3787101,臺灣菸酒股份有限公司,0,1
3793407,臺灣中小企業銀行股份有限公司,1,1
3794905,台灣糖業股份有限公司,0,1
3795101,台灣肥料股份有限公司,1,1
3795904,台灣電力股份有限公司,0,1
3798509,中國時報文化事業股份有限公司,0,1
4200199,陽明海運股份有限公司,1,1
4212250,國喬石油化學股份有限公司,1,1
